CODE,DECIMALS,ABBREV,FULL_NAME,UNITS,NARR
36,1,COLOR-TR,TRUE COLOUR-COLOURIMETRIC,MG/KG,"THE AUTOMATED DETERMINATION OF TRUE COLOUR UTILIZES A PLATINUM- COBALT STANDARD. SINCE THE COLOUR OF WATER IS EXTREMELY PH DEPENDENT, A FILTERED SAMPLE ALIQUOT IS MIXED WITH PHOSPHATE BUFFER SOLUTION WITH A PH OF 6.8 TO PROVIDE A CONSTANT PH FOR ITS DETERMINATION. THE ABSORBANCE OF THIS SAMPLE ALIQUOT IS PROPORTIONAL TO THE CONCENTRATION OF COLOUR AND IS MEASURED AT A WAVELENGTH OF 410 NM. THE COLOUR IS DETERMINED BY COMPARISON OF THE ABSORBANCE OUTPUT WITH THE FITTED CALIBRATION CURVE DRAWN FROM THE ABSORBANCE OUTPUTS OF SIMILARLY TREATED CALIBRATION STANDARD SOLUTIONS."
100,2,TEMP,TEMPERATURE (OF WATER),DEG C,"OCEANOGRAPHIC REVERSING THERMOMETERS. WILLIAMS,D.J. MANUAL OF METHODS FOR LIMNOLOGICAL OBSERVATIONS OF THE GREAT LAKES TECH. OPERATIONS SECTION,CCIW, BURLINGTON. 1971."
101,2,RAD T,WATER SURFACE RADIATION TEMP,DEG C,
102,2,T PROF,"TEMPERATURE PROFILER, WQP",DEG C,"THE TEMPERATURE PROBE SI PART OF A MULTI-SENSOR PROFILER DESCRIBED IN IN OPERATING INSTRUCTIONS FOR THE WATER QUALITY PROFILER ES-88-001. TEMPERATURE PROFILES WERE BEGUN IN 1983 USING A YSI 524 NEEDLE PROBE. THE INTERFACE ABOARD IS CUSTOM. THE PROBE IS RECALIBRATED AT LEAST ONCE A YEAR IN THE STANDARDS LABORATORY. THE REGRESSION COEFFICIENTS ARE APPLIED TO THE DIGITIZER COUNTS TO OBTAIN THE FINAL READINGS. THE ELECTRONIC BATHYTHERMOGRAPH PROVIDES DIRECT INSTANTANEOUS READOUT AND GRAPHICAL RECORD OF TEMPERATURE VS DEPTH WILLIAMS D.J. MANUAL OF METHODS FOR LIMNOLOGICAL OBSERVATIONS OF THE GREAT LAKES CCIW., BURLINGTON., 1971. REVERSING THERMOMETER TEMPERATURES USED IN EXTRAPOLATING 9 POINT DIGITIZATION DATA HAVE 50 DEGREES ADDED TO INDICATE THAT THEY ARE NOT PART OF THE BT OR EBT PROFILE REPORTED."
104,2,T EBT,TEMPERATURE EBT,DEG C,THE ELECTRONIC BATHYTHERMOGRAPH PROVIDES A DIRECT INSTANTANEOUS READOUT AND GRAPHICAL RECORD OF TEMPERATURES VS DEPTH.
105,1,BT TEMP,BATHYTHERMOGRAPH TEMP,DEG C,WATER TEMPERATURE READ FROM A BATHYTHERMOGRAPH PROFILE PRODUCED BY A MECHANICAL BATHYTHERMOGRAPH. REVERSING THERMOMETER TEMPERATURES USED IN EXTRAPOLATING 9 POINT DIGITIZATION DATA HAVE 50 DEGREES ADDED TO INDICATE THAT THEY ARE NOT PART OF THE BT OR EBT PROFILE REPORTED.
109,2,T CLASS,TEMPERATURE CLASSIFICATION,DEG C,A TEMPERATURE CLASSIFICATION DENOTES THE AVERAGED DIFFERENCE BETWEEN THE TWO SETS OF THERMOMETER READINGS. IT IS REPORTED ALONG WITH THE AVERAGED REVERSING THERMOMETER TEMPERATURE.
110,2,T SOL,SOLAR RADIATION (DIRECT-DIFFUSE),LANGLEYS,
111,2,DIRSOL,SOLAR RADIATION (DIRECT),LANGLEYS,
112,2,DIFSOL,SOLAR RADIATION (DIFFUSE),LANGLEYS,
113,2,R SOL,SOLAR RADIATION (REFLECTED),LANGLEYS,
115,2,UT RAD,DOWNARD SOLAR + TERRESTRIAL RADIATION,LANGLEYS,
116,2,UT RAD,UPWARD SOLAR + TERRESTRIAL RADIATION,LANGLEYS,
117,2,NT RAD,NET DOWNWARD SOLAR + TERRESTRIAL RAD.,LANGLEYS,
122,1,I-TURB,TURBIDITY FROM INTEG.SAMPL,UNITS,"TURBIDITY OBTAINED FROM INTEGRATED SAMPLES. TURBIDITY WAS MEASURED USING EITHER A HACH MODEL 2100A OR 2100 TURBIDIMETER.  PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308."
123,1,TURB,TURBIDITY,UNITS,TURBIDITY WAS MEASURED USING EITHER A HACH MODEL 2100A OR 2100 TURBIDIMETER. HACH MODEL 1860 USED BEFORE 1969. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308.
124,0,TRANS,TRANSPARENCY,PERCENT,"THE 5 DIGIT VALUE REPORTED CONSISTS OF 4 PARTS (READ LEFT TO RIGHT) FIRST DIGIT REFERS TO THE INSTRUMENT AND THE FIELD OF VIEW USED. I.E. 0 = XMS MARTEK WITH 2.3 F. O. V.      1 = XMS MARTEK WITH 0.9 F. O. V. SECOND DIGIT REFERS TO THE PATH LENGTH (0 = 1 METRE.,4 = .25,1 = .10) THIRD DIGIT REFERS TO THE FILTER USED (0 = WRATTEN 45 BLUE-GREEN ) FOURTH AND FIFTH DIGIT REFERS TO THE PERCENT TRANSMISSION. EXAMPLE 00075 REPORTS  75 PERCENT TRANSMISSION AT THE RECORDED DEPTH. PROFILES ARE TAKEN FROM SURFACE TO BOTTOM. READING OF 100 PERCENT WOULD BE OBTAINED IN HYPOTHETICAL NON ATTENUATING WATER."
125,1,TRANS P,"TRANSMISSION,LIGHT PROFILER",PERCENT,"THE LIGHT TRANSMISSOMETER IS PART OF A MULTI-SENSOR PROFILER. DESCRIBED IN ""OPERATING INSTRUCTIONS FOR THE WATER QUALITY PROFILER"" ES-88-001. TRANSMISSION PROFILES WERE BEGUN IN 1986 USING A CUSTOM NWRI (R.DESROSIERS) UNIT. THE TRANSMISSOMETER IS RECALIBRATED AT LEAST ONCE A YEAR IN THE STANDARDS LABORATORY. THE REGRESSION COEFFICIENT ARE APPLIED TO THE DIGITIZER COUNTS TO OBTAIN THE FINAL READINGS. THE FILTER IS CENTRED ON 500 NM AND THE BANDWIDTH IS 40 NM."
126,1,TRANS P,TRANSMISSION LIGHT PROFILER,PERCENT,"THE LIGHT TRANSMISSOMETER IS PART OF A MULTI-SENSOR PROFILER DESCRIBED IN ""OPERATING INSTRUCITONS OF THE WATER QUALITY PROFILER"" ES-88-001. TRANSMISSION PROFILES WERE BEGUN IN 1991 USING A SEA-TECH 25CM PATH LENGTH UNIT. THE TRANSMISSOMETER IS RECALIBRATED AT LEAST ONCE A YEAR IN THE STANDARDS LABORATORY. THE REGRESSION COEFFICIENTS ARE APPLIED TO THE DIGITIZER COUNTS TO OBTAIN THE FINAL READINGS. THE LIGHT IS CENTRED ON 660 OR 670 NM AND IS 40 NM WIDE ACCORDING TO SEA-TECH."
127,1,TRANS P,TRANSMISSION LIGHT PROFILER,PERCENT,"THE LIGHT TRANSMISSOMETER IS PART OF A MULTI-SENSOR PROFILER DESCRIBED IN ""OPERATING INSTRUCTIONS FOR THE WATER QUALITY PROFILER"" ES-88-001. TRANSMISSION PROFILES WERE BEGUN IN 1991 USING A SEA-TECH 10 CM PATH LENGTH UNIT. THE TRANSMISSOMETER IS RECALIBRATED AT LEAST ONCE A YEAR IN THE STANDARDS LABORATORY. THE REGRESSION COEFFICIENTS ARE APPLIED TO THE DIGITIZER COUNTS TO OBTAIN THE FINAL READINGS. THE LIGHT IS CENTRED ON 660 OR 670 NM AND IS 40 NM WIDE ACCORDING TO SEA-TECH."
130,0,D ILL,"SUBSURFACE ILLUMINANCE,DOWNWARD",CANDLE,
131,0,U ILL,"SUBSURFACE ILLUMINANCE,UPWARD",CANDLE,
158,0,CON P,"CONDUCTIVITY,PROFILER WQP",US/CM,"THE CONDUCTIVITY PROBE IS PART OF A MULTI-SENSOR PROFILER DESCRIBED IN ""OPERATING INSTRUCTIONS FOR THE WATER QUALITY PROFILER"" ES-88-001. CONDUCTIVITY PROFILES WERE BEGUN IN 1986 USING THE TBI MODEL 465 PROBE AND THE 440 SELIES CONTROLLER. THIS INSTRUMENT IS RECALIBRATED AT LEAST ONCE A YEAR IN THE STANDARDS LAB AND ROUTINELY COMPARED TO READINGS TAKEN IN A SPECIAL BATH USING A HAND HELD HANNAH METER. THE SENSITIVITY CAN BE ADJUSTED BY THE OPERATOR USING COMPUTER ENTRY TO CHANGE THE REGRESSION SLOPE. THE REGRESSION ON COEFFICIENTS ARE APPLIED TO THE DIGITIZER COUNTS TO OBTAIN THE FINAL READINGS"
159,0,I-SP CON,INTG. SPECIFIC CONDUCTANC 25 DEG. C,USIEMENS,"MICROSIEMENS SPECIFIC CONDUCTANCE FROM INTEGRATED SAMPLES SPECIFIC CONDUCTANCE MEASUREMENTS WERE PERFORMED BY USING A RADIOMETER TYPE CDM3 OR CDM2 CONDUCTIVITY METER. CONDUCTIVITY CELLS USED WERE RADIOMETER IMMERSION TYPE CDC 304, CDC 104 AND CDC 404. PHILBERT AND TRAVERSY  CCIW., INLAND WATERS, BURLINGTON.1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308. MICROSIEMENS REPLACES MICROMHOS AS THE SI UNIT FOR SPECIFIC CONDUCTANCE. FEB. 26,1976."
160,0,CON 25,SPECIFIC CONDUCTANCE 25 DEG. C,USIEMENS,"SPECIFIC CONDUCTANCE MEASUREMENTS WERE PERFORMED BY USING A RADIOMETER TYPE CDM3 OR CDM2 CONDUCTIVITY METER.CONDUCTIVITY CELLS USED WERE RADIOMETER IMMERSION TYPE CDC 304, CDC 104 AND CDC 404. PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308. MICROSIEMENS REPLACES MICROMHOS AS THE SI UNIT FOR SPECIFIC CONDUCTANCE. FEB. 26,1976."
200,0,T RES,"RESIDUE,TOTAL",MG/L,"TOTAL DISSOLVED AND SUSPENDED SOLIDS, GRAVIMETRIC. THE REMAINING RESIDUE, AFTER A VOLUME OF AN UNFILTERED SAMPLE IS EVAPORATED AND DRIED AT 105 C. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979"
201,0,F RES,"RESIDUE,FILTRABLE",MG/L,"TOTAL DISSOLVED SOLIDS GRAVIMETRIC. THE REMAINING RESIDUE AFTER A VOLUME OF A FILTERED SAMPLE (THROUGH GF/C FILTER) IS EVAPORATED AND DRIED AT 105 C. BEFORE 1971 RESIDUE WAS ENTERED TO 1 DEC. PLACE REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979"
202,0,NF RES,"RESIDUE,NON-FILTRABLE",MG/L,"TOTAL SUSPENDED SOLIDS, GRAVIMETRIC. THE RESIDUE RETAINED BY A GF/C FILTER AND DRIED TO A CONSTANT WEIGHT AT 105 C. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 BEFORE 1971 RESIDUE WAS ENTERED TO 1 DECIMAL PLACE."
203,0,T FIXR,"RESIDUE,TOTAL FIXED",MG/L,"TOTAL DISSOLVED AND SUSPENDED MINERALS(OR INORGANICS), GRAVIMETRIC. THE RESIDUE REMAINING IN A WEIGHTED DISH AFTER EVAPORATING AND DRYING AN UNFILTERED SAMPLE AT 550 C. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979"
204,0,F FIXR,"RESIDUE,FILTRABLE FIXED",MG/L,"TOTAL DISSOLVED MINERALS (OR INORGANICS), GRAVIMETRIC. THE REMAINING RESIDUE AFTER A VOLUME OF A FILTERED SAMPLE (THROUGH GF/C FILTER) IS EVAPORATED AND DRIED AT 550 C. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979"
205,0,NF FIXR,"RESIDUE,NON-FILTRABLE FIXED",MG/L,"TOTAL SUSPENDED MINERALS,(OTHERWISE KNOWN AS SUSPENDED INORGANIC. GRAVIMETRIC THE RESIDUE RETAINED BY A GF/C FILTER DRIED TO CONSTANT WEIGHT AT 550 C. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979"
206,3,%C,"CARBON,PERCENT",PERCENT,"SAMPLE IS TREATED WITH CONC. H2SO4, WASHED WITH DISTILLED WATER AND DRIED. DRIED SEDIMENT IS GROUND AND ANALYZED BY CHN ANALYSIS. DETECTION LIMIT 0.005%"
207,2,SIM,SUSPENDED INORGANIC MATERIAL,MG/L,"TOTAL DISSOLVED SOLIDS GRAVIMETRIC. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979"
208,1,I-SIM,"SUSPENDED INORGANIC MATERIAL,INTEGRATED",MG/L,"FROM INTEGRATED WATER SAMPLE OTHERWISE CALLED ,RESIDUE, FIXED NON-FILTERABLE. THE SAMPLE IS FILTERED THROUGH A PREWEIGHTED GF/C FILTER. (PRECOMBUSTED AT 500 C.) THE FILTER PLUS RESIDUE IS DRIED, COMBUSTED, AT 550 C, COOLED AND THEN WEIGHED. THE SUSPENDED INORGANIC MATERIAL IS CALCULATED FROM THE DIFFERENCES IN WEIGHTS."
209,1,I-NF RES,"RESIDUE,NON-FILTRABLE,INTEGRATED",MG/L,FROM AN INTEGRATED WATER SAMPLE. THE RESIDUE RETAINED BY A GF/C FILTER AND DRIED TO CONSTANT WEIGHT AT 105 DEGREES CENTIGRADE.
210,3,TIC,"CARBON,TOTAL INORGANIC",PPM,"SEDIMENT SAMPLE IS ANALYZED BY CHN ANALYZER SEPARATE ALIQUOT OF THE SAME SAMPLE IS TREATED WITH CONC. H2SO4, WASHED WITH DISTILLED WATER DRIED AND ANALYZED BY CHN ANALYZER. THE DIFFERENCE BETWEEN TREATED AND UNTREATED WILL BE TOTAL INORGANIC CARBON. DETECTION LIMIT IS .002 MG/L"
211,2,PH10,PH AT 10 DEGREES CENTIGRADE,PH UNITS,"PH MEASUREMENTS WERE MADE WITH RADIOMETER MODEL PHM52 DIGITAL READOUT PH METER EQUIPPED WITH RADIOMETER GENERAL PURPOSE SHIELDED GLASS AND POROUS PIN CALOMEL REFERENCE ELECTRODES. SAMPLES WERE MAINTAINED AT APPROX. 10 DEGREES C. BY ALLOWING TO STAND IN A WATER BATH. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308."
212,2,I-PH,PH FROM INTEG. SAMPLE,PH UNITS,"PH MEASUREMENTS WERE MADE WITH A RADIOMETER MODEL PHM52 DIGITAL READOU PH METER EQUIPPED WITH RADIOMETER GENERAL PURPOSE SHIELDED GLASS AND POROUS PIN CALOMEL REFERENCE ELECTRODES. CORNING PH METER MODELS 10+12 WERE USED BEFORE 1970. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308."
213,2,PH,PH,PH UNITS,"PH MEASUREMENTS WERE MADE WITH A RADIOMETER MODEL PHM52 DIGITAL READOU PH METER EQUIPPED WITH RADIOMETER GENERAL PURPOSE SHIELDED GLASS AND POROUS PIN CALOMEL REFERENCE ELECTRODES. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308. CHANGED FROM PH SITU TO PH 1975"
214,3,I-PH 25,PH AT 25 DEG. C INTEGRATED SAMPLE,PH UNITS,"PH OBTAINED FROM INTERGRATED SAMPLES AT 25 DEGREES CENTIGRADE. DIGITAL PH METER. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979"
215,3,PH 25,PH AT 25 DEG. C,PH UNITS,"DIGITAL PH METER. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979"
216,3,PH SITU,PH IN SITU,PH UNITS,"PH MEASUREMENTS WERE MADE WITH A RADIOMETER MODEL PHM52 DIGITAL READOUT PH METER EQUIPPED WITH RADIOMETER GENERAL PURPOSE SHIELDED GLASS AND POROUS PIN CALOMEL REFERENCE ELECTRODES. CORNING PH METER MODELS 10+12 WERE USED BEFORE 1970. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308."
217,3,I-PH,PH IN SITU FROM INTEGRATED SAMPLE,PH UNITS,"PH OBTAINED FROM INTEGRATED SAMPLES. PH MEASUREMENTS WERE MADE WITH A RADIOMETER MODEL PHM52 DIGITAL READOUT PH METER EQUIPPED WITH A RADIO- METER GENERAL PURPOSE SHIELDED GLASS AND POROUS PIN CALOMEL REFERENCE ELECTRODES. CORNING PH METER MODELS 10+12 WERE USED BEFORE 1970. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308."
218,1,PH TEMP,TEMPERATURE AT WHICH PH WAS MEASURED,DEG C,"REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308."
219,1,TT ALK,"ALKALINITY,TOTAL TITROMETRIC",MG CACO3,"POTENTIOMETRIC TITRATION. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979"
220,1,ALKCO3,"ALKALINITY,NON-FILTRABLE, I.R.",MG CACO3,"THE INFRA RED DETECTION METHOD CAME INTO USE IN JUNE 1976. IF TURBID, THE SAMPLE IS ALLOWED TO SETTLE, THEN ANALYZED AS IN CODE 223. PRIOR TO JUNE 1976, THE COLORIMETRIC METHOD WAS USED. TOTAL ALKALINITY WAS MEASURED BY AUTO ANALYZER BUFFERED INDICATOR (METHYL-ORANGE) METHOD. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308."
221,1,PT ALK,"ALKALINITY,PHENOLPHTHALEIN",MG CAC03,"POTENTIOMETRIC TITRATION TO PH 8.3. REF: ANALYTICAL METHODS MANUAL WATER QUALITY BRANCH,INLAND WATERS DIRECTORATE, OTTAWA."
222,1,I-ALKCO3,"ALKALINITY,NON-FILTRABLE,I.R.,INTEG.",MG CACO3,FROM A UNFILTERED INTEGRATED SAMPLE.
223,1,F ALKCO3,"ALKALINITY,FIL. I.R.",MG CACO3,"THE INFRA RED DETECTION METHOD CAME INTO USE IN JUNE 1976 THROUGH AN AUTO ANALYZER SYSTEM THE FILTERED SAMPLE IS MIXED WITH HCL, THEN OXYGEN. THE RESULTING CO2 IS SEPARATED FROM THE LIQUID PHASE AND DETERMINED IN AN I.R. DETECTOR. DETECTION LIMIT IS 2 MG/L. REF: P.D. GOULDEN, WATER RES. VOL. 10, P 487(1976) ANALYTICAL METHODS MANUAL, WATER QUALITY BRANCH, I.W.D. BEFORE JUNE 1976, THE COLORIMETRIC METHOD WAS USED. TOTAL ALKALINITY WAS MEASURED BY THE AUTO ANALYZER BUFFERED INDICATOR (METHYL-ORANGE) METHOD. SAMPLES WERE FIRST FILTERED THROUGH AN AUTOANALYZER 0.45 MICRON MEMBRANE FILTER. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308."
224,1,IF-ALKC3,"ALKALINITY FIL. I.R.,INTEGRATED",MG CACO3,FROM A FILTERED INTEGRATED SAMPLE.
225,3,I-POC,"CARBON,PARTICULATE ORGANIC,INTEGRATED",MG C/L,"FROM INTEGRATED SAMPLE PARTICULATES WERE COLLECTED BY FILTERING A SAMPLE THROUGH  PRETREATED GF/C GLASS FIBRE FILTERS AND THE ANALYSIS WAS CONDUCTED WITH A HEWLETT-PACKARD MODEL 185 CHN ANALYZER WITH A STRIP CHART RECORDER AND SURFACE PEAK AREA INTEGRATOR. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308."
226,1,D ORG C,"CARBON,DISSOLVED ORGANIC",MG C/L,"INFRARED ANALYSIS,BECKMAN 915 TOC ANALYZER.ANALYTICAL METHODS MANUAL, WATER QUALITY BRANCH, INLAND WATERS DIRECTORATE, OTTAWA. AUTOMATED UV METHOD USED AFTER 1972, PHILBERT AND TRAVERSY. INLAND WATERS BRANCH, CCIW., BURLINGTON. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308."
227,3,POC,"CARBON,PARTICULATE ORGANIC",MG C/L,"PARTICULATES WERE COLLECTED BY FILTERING A SAMPLE THROUGH PRETREATED GF/C GLASS FIBRE FILTERS AND THE ANALYSIS WAS CONDUCTED WITH A HEWLETT-PACKARD MODEL 185 CHN ANALYZER WITH A STRIP CHART RECORDER AND SURFACE PEAK AREA INTEGRATOR. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979 PHILBERT AND TRAVERSY, INLAND WATERS BRANCH, CCIW., BURLINGTON. 1973. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308."
228,1,C INORG,"CARBON,INORGANIC",MG C/L,"INFRARED ANALYSIS,BECKMAN 915 TOC ANALYZER.ANALYTICAL METHODS MANUAL, WATER QUALITY BRANCH, INLAND WATERS DIRECTORATE, OTTAWA. AUTOMATED U V METHOD USED AFTER 1972, PHILBERT AND TRAVERSY. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308."
229,1,C TOT,"CARBON,TOTAL",MG C/L,"INFRARED ANALYSIS,BECKMAN 915 TOC ANALYZER.ANALYTICAL METHODS MANUAL, WATER QUALITY BRANCH, INLAND WATERS DIRECTORATE, OTTAWA. AUTOMATED U V METHOD USED AFTER 1972, PHILBERT AND TRAVERSY. INLAND WATERS BRANCH, CCIW., BURLINGTON. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308."
230,1,ORG C,"CARBON,TOTAL ORGANIC",MG C/L,"INFRARED ANALYSIS,BECKMAN 915 TOC ANALYZER.ANALYTICAL METHODS MANUAL, WATER QUALITY BRANCH, INLAND WATERS DIRECTORATE, OTTAWA. AUTOMATED U V METHOD USED AFTER 1972, PHILBERT AND TRAVERSY. PROC. 16TH CONF. GREAT LAKES RES. 1973. PAGES 294-308."
231,0,T CO2,"CARBON,DIOXIDE TOTAL",UM/L,C02 IS THE TOTAL C02 IN MICROMOLES/LITRE BY VAN SLYKE METHOD. THE DATA WAS COLLECTED BY DR.WOOD. UNIV. OF PENNSYLVANIA.
232,1,HC03,BICARBONATE,MG/L,"NOMOGRAPHIC COMPUTATION FROM ALKALINITY VALUES. STANDARD METHODS FOR THE EXAMINATION OF WATER AND WASTEWATER 13TH EDITION. REF: ANALYTICAL METHODS MANUAL, W.Q.B., I.W.D., OTTAWA 1979"
